school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Xishan,2011,0,44,53,107,0,44,0
Yangzheng,2011,10,91,39,70,10,70,1
Yew Tee,2011,22,124,70,117,22,117,1
Yio Chu Kang,2011,0,32,62,125,0,32,0
Yishun,2011,0,62,61,123,0,62,0
Yu Neng,2011,24,89,32,41,24,41,1
Yuhua,2011,0,62,92,183,0,62,0
Yumin,2011,0,51,50,100,0,51,0
Zhangde,2011,4,151,65,129,4,129,1
Zhenghua,2011,1,108,78,154,1,108,0
Zhonghua,2011,0,40,81,162,0,40,0
Admiralty,2012,48,81,55,62,48,62,1
Ahmad Ibrahim,2012,1,90,63,124,1,90,0
Ai Tong,2012,49,58,20,20,20,20,1
Anchor Green,2012,9,93,46,82,9,82,1
Anderson,2012,26,67,30,34,26,34,1
Ang Mo Kio,2012,1,68,61,121,1,68,0
Anglo-Chinese (Junior),2012,76,64,54,54,54,54,1
Anglo-Chinese (Primary),2012,22,21,18,17,18,17,1
Angsana,2012,0,28,68,136,0,27,0
Beacon,2012,9,131,63,118,8,118,1
Bedok Green,2012,3,114,77,151,2,114,0
Bendemeer,2012,0,71,49,98,0,71,0
Blangah Rise,2012,0,31,106,211,0,31,0
Boon Lay Garden,2012,0,75,74,147,0,74,0
Bukit Panjang,2012,43,74,44,44,43,44,1
Bukit Timah,2012,1,61,68,134,1,61,0
Bukit View,2012,2,89,65,128,2,88,0
CHIJ (Katong),2012,39,106,72,104,39,104,1
CHIJ (Kellock),2012,36,121,68,99,36,99,1
CHIJ (Toa Payoh),2012,68,58,50,50,50,50,1
CHIJ Our Lady Queen of Peace,2012,46,61,62,78,46,61,0
CHIJ Our Lady of Good Counsel,2012,48,54,46,46,46,46,1
CHIJ Our Lady of the Nativity,2012,53,117,77,101,53,101,1
CHIJ St. Nicholas Girls’,2012,32,42,18,17,18,17,1
Canberra,2012,54,114,66,79,54,79,1
Canossa Catholic,2012,6,57,50,94,6,57,0
Cantonment,2012,3,160,97,190,3,160,0
Casuarina,2012,0,83,48,96,0,83,0
Catholic High,2012,28,55,20,20,20,20,1
Cedar,2012,1,71,38,74,1,70,0
Changkat,2012,1,108,55,108,1,108,0
Chongfu,2012,84,84,64,63,64,63,1
Chongzheng,2012,16,86,40,63,16,63,1
Chua Chu Kang,2012,5,161,65,124,5,124,1
Clementi,2012,6,129,67,129,6,129,0
Compassvale,2012,40,150,75,110,40,110,1
Concord,2012,0,85,51,102,0,85,0
Corporation,2012,0,80,66,132,0,81,0
Damai,2012,0,27,62,123,0,26,0
Dazhong,2012,2,74,65,128,2,74,0
De La Salle,2012,59,99,72,84,59,84,1
East Spring,2012,4,86,42,79,4,79,1
Edgefield,2012,7,144,75,143,7,143,1
Elias Park,2012,2,81,55,107,2,82,0
Endeavour,2012,22,129,43,64,22,64,1
Eunos,2012,0,41,60,120,0,40,0
Evergreen,2012,17,79,47,76,17,76,1
Fairfield Methodist,2012,62,57,32,31,32,31,1
Farrer Park,2012,1,23,79,157,1,23,0
Fengshan,2012,3,104,50,97,3,97,1
Fernvale,2012,2,106,78,153,2,105,0
First Toa Payoh,2012,1,47,81,161,1,47,0
Frontier,2012,5,258,110,214,5,214,1
Fuchun,2012,0,124,55,110,0,110,1
